Compiling model...
'compile' took 1.140150 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [1.02e-02, 1.40e-01, 2.82e-01]    [1.02e-02, 1.40e-01, 2.82e-01]    []  
1000      [4.12e-02, 7.78e-04, 5.54e-02]    [4.12e-02, 7.78e-04, 5.54e-02]    []  
2000      [3.33e-02, 1.14e-04, 4.85e-02]    [3.33e-02, 1.14e-04, 4.85e-02]    []  
3000      [2.52e-02, 6.94e-05, 3.58e-02]    [2.52e-02, 6.94e-05, 3.58e-02]    []  
4000      [7.27e-03, 7.41e-05, 6.14e-03]    [7.27e-03, 7.41e-05, 6.14e-03]    []  
5000      [4.33e-03, 5.41e-05, 2.92e-03]    [4.33e-03, 5.41e-05, 2.92e-03]    []  
6000      [3.30e-03, 3.41e-05, 2.17e-03]    [3.30e-03, 3.41e-05, 2.17e-03]    []  
7000      [2.67e-03, 2.22e-05, 1.76e-03]    [2.67e-03, 2.22e-05, 1.76e-03]    []  
8000      [2.18e-03, 1.79e-05, 1.47e-03]    [2.18e-03, 1.79e-05, 1.47e-03]    []  
9000      [3.39e-03, 2.78e-05, 1.36e-03]    [3.39e-03, 2.78e-05, 1.36e-03]    []  
10000     [1.60e-03, 1.04e-05, 1.14e-03]    [1.60e-03, 1.04e-05, 1.14e-03]    []  

Best model at step 10000:
  train loss: 2.75e-03
  test loss: 2.75e-03
  test metric: []

'train' took 142.021303 s

Compiling model...
'compile' took 0.000529 s

Training model...

Step      Train loss                        Test loss                         Test metric
10000     [1.60e-03, 1.04e-05, 1.14e-03]    [1.60e-03, 1.04e-05, 1.14e-03]    []  
11000     [2.02e-04, 8.44e-07, 1.54e-04]    [2.02e-04, 8.44e-07, 1.54e-04]    []  
12000     [9.15e-05, 3.79e-07, 4.16e-05]    [9.15e-05, 3.79e-07, 4.16e-05]    []  
13000     [4.71e-05, 1.10e-07, 1.91e-05]    [4.71e-05, 1.10e-07, 1.91e-05]    []  
14000     [2.97e-05, 1.47e-07, 1.28e-05]    [2.97e-05, 1.47e-07, 1.28e-05]    []  
15000     [2.17e-05, 5.70e-08, 8.53e-06]    [2.17e-05, 5.70e-08, 8.53e-06]    []  
